section	key	srcproj	tgtproj	params
CSV	proj4-epsg.csv:00775	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00776	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00777	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00778	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00779	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00780	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00781	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00782	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00783	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00784	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00785	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00786	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00787	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00788	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00789	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00790	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00791	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00792	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00793	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00794	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00795	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00796	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00797	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00798	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00799	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00800	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00801	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00802	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00803	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00804	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00805	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00806	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00807	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00808	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00809	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00810	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00811	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00812	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00813	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00814	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00815	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
